Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Display Technology,Screen Size,size_inch,Max. Resolution,COVID-19 Safety
https://www.gumtree.com.au/s-ad/helensvale/tvs/3y-warranty-hisense-tv-65-uhd-hdr/1262086395,1100.0,Helensvale,23/11/2020,29/11/2020,Hisense,Used,LED LCD,Other,65.0,2160p (4K),
https://www.gumtree.com.au/s-ad/glenroy/tvs/smart-tvs-32-40-50-50-inch-ffalcon-factory-refurbished-/1257182933,199.0,Glenroy,03/12/2020,03/12/2020,Other,Used,LED,Other,50.0,Other,
https://www.gumtree.com.au/s-ad/runaway-bay/tvs/samsung-tv-ua-55-d7000lm/1262777536,600.0,Runaway Bay,02/12/2020,02/12/2020,Samsung,Used,,50-60 in,,,
https://www.gumtree.com.au/s-ad/newtown/tvs/32-smart-tv-hisense-/1263054751,230.0,Newtown,2020-12-06,2020-12-06,,Used,,,32.0,,
https://www.gumtree.com.au/s-ad/croydon/tvs/42-inch-hisense-tv-free-free-good-for-parts-or-if-you-can-fix-it-/1263054666,,Croydon,2020-12-06,2020-12-06,Hisense,Used,LCD,40-49 in,42.0,,
https://www.gumtree.com.au/s-ad/ormiston/tvs/-50-tv-dvd/1263054643,50.0,Ormiston,2020-12-06,2020-12-06,,Used,,,,,
https://www.gumtree.com.au/s-ad/dandenong/tvs/sony-bravia-full-hd-3d-40-tv/1263054488,200.0,Dandenong,2020-12-06,2020-12-06,Sony,Used,LED,40-49 in,40.0,1080p,
https://www.gumtree.com.au/s-ad/pagewood/tvs/panasonic-50-inch-viera-led-lcd-tv/1263054303,400.0,Pagewood,2020-12-06,2020-12-06,Panasonic,Used,LED LCD,50-60 in,50.0,1080p,Contactless trade
https://www.gumtree.com.au/s-ad/glebe/tvs/soniq-32inch-tv-led-lcdtv/1263054004,50.0,Glebe,2020-12-06,2020-12-06,SONIQ,Used,LED,30-39 in,32.0,,
https://www.gumtree.com.au/s-ad/lane-cove/tvs/phillips-42-inch-tv/1263053786,100.0,Lane Cove,2020-12-06,2020-12-06,Other,Used,Other,,42.0,,Contactless trade
https://www.gumtree.com.au/s-ad/mawson/tvs/loewe-individual-32-lcd-tv/1263053760,150.0,Mawson,2020-12-06,2020-12-06,,Used,LCD,,,,
https://www.gumtree.com.au/s-ad/lakemba/tvs/sony-bravia-tv-40-hd-102cm/1263053640,200.0,Lakemba,2020-12-06,2020-12-06,Sony,Used,LCD,40-49 in,40.0,1080p,
https://www.gumtree.com.au/s-ad/norwood/tvs/samsung-64-inch-3d-smart-plasma-exc-condition/1263053442,695.0,Norwood,2020-12-06,2020-12-06,Samsung,Used,Plasma,Other,64.0,,
https://www.gumtree.com.au/s-ad/blacktown/tvs/lg-47-inch-full-hd-3d-with-full-led-backlights-hdmi-tv/1263053227,650.0,Blacktown,2020-12-06,2020-12-06,LG,Used,LED,40-49 in,47.0,1080p,Contactless trade
https://www.gumtree.com.au/s-ad/doolandella/tvs/samsung-50-led-fhd-3d-smart-tv/1263053082,380.0,Doolandella,2020-12-06,2020-12-06,Other,Used,Other,Other,50.0,Other,
https://www.gumtree.com.au/s-ad/airport-west/tvs/kogan-24-smart-led-tv-series-7-eh7500-free-shipping-/1254135521,159.0,Airport West,2020-12-06,2020-12-06,,New,,,24.0,,
https://www.gumtree.com.au/s-ad/horsley/tvs/samsung-32in-tv/1263052981,50.0,Horsley,2020-12-06,2020-12-06,,Used,,,,,
https://www.gumtree.com.au/s-ad/seville-grove/tvs/42-inch-lg-tv/1263052826,100.0,Seville Grove,2020-12-06,2020-12-06,LG,Used,,40-49 in,42.0,,
https://www.gumtree.com.au/s-ad/croydon-north/tvs/55-cm-television-/1263052463,250.0,Croydon North,2020-12-06,2020-12-06,,Used,,,21.0,,
https://www.gumtree.com.au/s-ad/taylors-lakes/tvs/37-awa-full-hd-lcd-television/1263052447,70.0,Taylors Lakes,2020-12-06,2020-12-06,,Used,LCD,,37.0,,
https://www.gumtree.com.au/s-ad/merrylands/tvs/hisense-smart-tv-55-inch-broken-screen-all-other-functions-works/1263052277,99.0,Merrylands,2020-12-06,2020-12-06,Other,Used,LCD,50-60 in,55.0,,
https://www.gumtree.com.au/s-ad/wyoming/tvs/lg-70-177-8cms-70uf770t-4k-uhd-led-lcd-smart-tv/1263051789,900.0,Wyoming,2020-12-06,2020-12-06,LG,Used,LED,Other,70.0,,
https://www.gumtree.com.au/s-ad/redlynch/tvs/panasonic-viera-plasma-tv-with-remote/1263051739,50.0,Redlynch,2020-12-06,2020-12-06,,Used,,50-60 in,,,
https://www.gumtree.com.au/s-ad/happy-valley/tvs/viano-24-hd-led-lcd-tv-with-dvd-player/1263051400,100.0,Happy Valley,2020-12-06,2020-12-06,,Used,,,24.0,,Contactless trade
https://www.gumtree.com.au/s-ad/deer-park/tvs/46inch-plasma-not-lcd-tv-old-school-works-well/1263051366,50.0,Deer Park,2020-12-06,2020-12-06,,Used,,,46.0,,
https://www.gumtree.com.au/s-ad/croydon/tvs/lg-tv/1263051348,260.0,Croydon,2020-12-06,2020-12-06,LG,Used,,,,,
https://www.gumtree.com.au/s-ad/dandenong/tvs/sony-bravia-55-4k-ultra-hd-smart-tv/1263051292,900.0,Dandenong,2020-12-06,2020-12-06,,New,,,55.0,,
https://www.gumtree.com.au/s-ad/runaway-bay/tvs/samsung-tv-ua-55-d7000lm/1262777536,600.0,Runaway Bay,02/12/2020,02/12/2020,Samsung,Used,,50-60 in,,,
https://www.gumtree.com.au/s-ad/sydney-region/tvs/4k-uhd-tv-65-inch-tek-hdr-curved-smart-tv/1227061324,1250.0,Sydney Region,03/11/2019,14/11/2020,,New,LED,Other,65.0,2160p (4K),Contactless trade
https://www.gumtree.com.au/s-ad/mermaid-waters/tvs/samsung-75-led-4k-3-840x2-160-res-uad-smart-tv-wi-fi/1261363081,1495.0,Mermaid Waters,14/11/2020,2020-12-06,Samsung,Used,LED,Other,75.0,2160p (4K),
https://www.gumtree.com.au/s-ad/clayton/tvs/hisense-75-4k-uhd-uled-quled-smart-tv-s-clearance-warranty/1260361845,1229.0,Clayton,18/11/2020,18/11/2020,Hisense,Used,Other,Other,,2160p (4K),
https://www.gumtree.com.au/s-ad/clyde/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1259317424,190.0,Clyde,18/10/2020,25/11/2020,,New,,,,,
https://www.gumtree.com.au/s-ad/helensvale/tvs/3y-warranty-hisense-tv-65-uhd-hdr/1262086395,1100.0,Helensvale,23/11/2020,29/11/2020,Hisense,Used,LED LCD,Other,65.0,2160p (4K),
https://www.gumtree.com.au/s-ad/lismore/tvs/panasonic-32-led-network-connected-tv-th-l32xv6a/1263050829,180.0,Lismore,2020-12-06,2020-12-06,Panasonic,Used,LED LCD,30-39 in,,,
https://www.gumtree.com.au/s-ad/wilsonton/tvs/hisense-55k3110pw-smart-full-hd-led-television-55inch/1263050746,400.0,Wilsonton,2020-12-06,2020-12-06,,Used,LED,50-60 in,55.0,1080p,
https://www.gumtree.com.au/s-ad/forest-hill/tvs/samsung-3d-smart-55-fhd-led-tv-excellent-condition-/1263050708,380.0,Forest Hill,2020-12-06,2020-12-06,,Used,,,55.0,,
https://www.gumtree.com.au/s-ad/logan-village/tvs/43-inch-flat-screen-tv/1263050686,60.0,Logan Village,2020-12-06,2020-12-06,Hisense,Used,,,43.0,,
https://www.gumtree.com.au/s-ad/narrabundah/tvs/50-panasonic-viera-tv/1263050650,150.0,Narrabundah,2020-12-06,2020-12-06,Panasonic,Used,Plasma,50-60 in,50.0,1080p,Contactless trade
https://www.gumtree.com.au/s-ad/thomastown/tvs/soniq-40-flat-screen-tv-includes-remote/1263050480,220.0,Thomastown,2020-12-06,2020-12-06,SONIQ,Used,LCD,40-49 in,,1080p,
https://www.gumtree.com.au/s-ad/hendra/tvs/65-tv-plus-cabinet-and-extras-package-in-excellent-condition/1262740787,1000.0,Hendra,2020-12-06,2020-12-06,Other,Used,LED,Other,65.0,2160p (4K),Contactless trade
https://www.gumtree.com.au/s-ad/belconnen/tvs/55-inch-ultra-high-definition-led-lcd-tv-television-/1263049865,200.0,Belconnen,2020-12-06,2020-12-06,Other,Used,,50-60 in,55.0,,
https://www.gumtree.com.au/s-ad/mount-druitt/tvs/hisense-55inch-4kuhd-smart-tv/1263049616,600.0,Mount Druitt,2020-12-06,2020-12-06,Hisense,Used,LED,50-60 in,55.0,2160p (4K),
https://www.gumtree.com.au/s-ad/corio/tvs/lindin-55-inch-tv/1263049595,450.0,Corio,2020-12-06,2020-12-06,,Used,,,55.0,,
https://www.gumtree.com.au/s-ad/amaroo/tvs/-70-inch-tv-bargain-/1263049540,800.0,Amaroo,2020-12-06,2020-12-06,LG,Used,LED LCD,,970.0,,
https://www.gumtree.com.au/s-ad/caboolture-south/tvs/ibright-1800-luminous-tv-projector-1080-pixels/1263049490,60.0,Caboolture South,2020-12-06,2020-12-06,Other,Used,LED,Other,,1080p,Contactless trade
https://www.gumtree.com.au/s-ad/north-albury/tvs/52-inch-130-cm-flatscreen-television-with-remote-works-well/1263049489,150.0,North Albury,2020-12-06,2020-12-06,,Used,,,52.0,,
https://www.gumtree.com.au/s-ad/chapman/tvs/pioneer-plasma-tv/1263049272,100.0,Chapman,2020-12-06,2020-12-06,,Used,Plasma,,,,
https://www.gumtree.com.au/s-ad/neutral-bay/tvs/sony-lcd-digital-colour-tv/1263049270,65.0,Neutral Bay,2020-12-06,2020-12-06,Sony,Used,LCD,,,,
https://www.gumtree.com.au/s-ad/truganina/tvs/47-lg-android-tv/1263049246,400.0,Truganina,2020-12-06,2020-12-06,LG,Used,,40-49 in,47.0,,
https://www.gumtree.com.au/s-ad/doncaster/tvs/40-inch-hd-lcd-tv-for-sale-/1263048479,60.0,Doncaster,2020-12-06,2020-12-06,,Used,,,40.0,,
https://www.gumtree.com.au/s-ad/townsville/tvs/hisense-50inch-smart-ctv/1263047966,220.0,Townsville,2020-12-06,2020-12-06,Hisense,Used,,,50.0,,
https://www.gumtree.com.au/s-ad/cranbourne-west/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1263047926,190.0,Cranbourne West,2020-12-06,2020-12-06,,New,,,,,
https://www.gumtree.com.au/s-ad/port-lincoln/tvs/lg-65-3d-fhd-lcd-led-smart-tv/1263047900,795.0,Port Lincoln,2020-12-06,2020-12-06,LG,Used,LED LCD,,,,
https://www.gumtree.com.au/s-ad/keysborough/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1263047833,190.0,Keysborough,2020-12-06,2020-12-06,,New,,,,,
https://www.gumtree.com.au/s-ad/redland-bay/tvs/brand-new-still-in-box-hisense-50-tv/1263047714,585.0,Redland Bay,2020-12-06,2020-12-06,Hisense,New,LED,50-60 in,50.0,,
https://www.gumtree.com.au/s-ad/launceston/tvs/panasonic-tv-41-inch/1263047691,80.0,Launceston,2020-12-06,2020-12-06,,Used,,,41.0,,
https://www.gumtree.com.au/s-ad/queanbeyan/tvs/42-inch-sony-bravia-tv-with-a-remote-/1263047646,200.0,Queanbeyan,2020-12-06,2020-12-06,Sony,Used,,40-49 in,42.0,,
https://www.gumtree.com.au/s-ad/hyde-park/tvs/phillips-80-cm-tv/1262203641,70.0,Hyde Park,25/11/2020,02/12/2020,Other,Used,,30-39 in,31.0,,
https://www.gumtree.com.au/s-ad/launceston/tvs/panasonic-tv-41-inch/1263047691,80.0,Launceston,2020-12-06,2020-12-06,,Used,,,41.0,,
https://www.gumtree.com.au/s-ad/queanbeyan/tvs/42-inch-sony-bravia-tv-with-a-remote-/1263047646,200.0,Queanbeyan,2020-12-06,2020-12-06,Sony,Used,,40-49 in,42.0,,
https://www.gumtree.com.au/s-ad/werribee/tvs/58-inch-chiq-smart-tv/1263047624,450.0,Werribee,2020-12-06,2020-12-06,Other,Used,LED LCD,50-60 in,58.0,2160p (4K),Contactless trade
https://www.gumtree.com.au/s-ad/morningside/tvs/turn-your-dumb-tv-into-a-smart-tv-free-post/1263047496,99.0,Morningside,2020-12-06,2020-12-06,,New,,,,,
https://www.gumtree.com.au/s-ad/ellenbrook/tvs/50-tv/1263047457,85.0,Ellenbrook,2020-12-06,2020-12-06,,Used,,,50.0,,
https://www.gumtree.com.au/s-ad/morningside/tvs/watch-free-movies-tv-series-sports-play-games-and-more-free-post/1263047353,99.0,Morningside,2020-12-06,2020-12-06,,New,,,,,
