Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Screen Size,COVID-19 Safety,Display Technology,Max. Resolution
https://www.gumtree.com.au/s-ad/plumpton/tvs/smart-lg-tv-for-sale/1255833815,380.0,Plumpton,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/yarralumla/tvs/samsung-series-6-40inch-television-la40b650-/1255833487,250.0,Yarralumla,2020-08-31,2020-08-31,Samsung,Used,40-49 in,,LCD,1080p
https://www.gumtree.com.au/s-ad/success/tvs/samsung-tv-40-inch/1255833054,200.0,Success,2020-08-31,2020-08-31,Samsung,Used,,,LED LCD,1080p
https://www.gumtree.com.au/s-ad/belconnen/tvs/vivo-55-flat-screen-tv/1255832953,50.0,Belconnen,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/osborne-park/tvs/hisense-smart-tv/1255832806,500.0,Osborne Park,2020-08-31,2020-08-31,Hisense,Used,50-60 in,,LED,
https://www.gumtree.com.au/s-ad/seven-hills/tvs/42-inch-tv-fully-working/1255832608,100.0,Seven Hills,2020-08-31,2020-08-31,LG,Used,40-49 in,,,
https://www.gumtree.com.au/s-ad/chelsea/tvs/samsung-40-4k-ultra-hd-smart-tv/1255832239,550.0,Chelsea,2020-08-31,2020-08-31,Samsung,Used,40-49 in,,Other,2160p (4K)
https://www.gumtree.com.au/s-ad/potts-point/tvs/panasonic-50-inch-smart-tv/1255832143,399.0,Potts Point,2020-08-31,2020-08-31,Panasonic,Used,50-60 in,,Plasma,
https://www.gumtree.com.au/s-ad/trinity-beach/tvs/sony-bravia-46-inch/1255831800,90.0,Trinity Beach,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/waitara/tvs/full-hd-lg-42-inch-tv/1255831598,100.0,Waitara,2020-08-31,2020-08-31,LG,Used,40-49 in,,LED LCD,
https://www.gumtree.com.au/s-ad/chelsea/tvs/samsung-3d-40-full-hd-smart-tv/1255831408,500.0,Chelsea,2020-08-31,2020-08-31,Samsung,Used,40-49 in,Contactless trade,LED,1080p
https://www.gumtree.com.au/s-ad/harris-park/tvs/hisense-led-tv-32-new-/1255831323,200.0,Harris Park,2020-08-31,2020-08-31,Hisense,New,30-39 in,,LED,1080p
https://www.gumtree.com.au/s-ad/southern-river/tvs/tv-32-/1255831317,300.0,Southern River,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/south-yarra/tvs/tv-sony-bravia-4k-43-inch/1255831300,600.0,South Yarra,2020-08-31,2020-08-31,Sony,Used,40-49 in,,,2160p (4K)
